service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JUN16-JUNDA16-Weekday-16,1,1,1,1,1,0,0,20160704,20160902
JUL0816-Jul0816-Weekday-01,1,1,1,1,1,0,0,20160708,20160708
JUN16-JUNSA16-Saturday-02,0,0,0,0,0,1,0,20160709,20160903
JUN16-JUNSU16-Sunday-02,0,0,0,0,0,0,1,20160710,20160828
CIVIC16-CIVIC16-Sunday-02,0,0,0,0,0,0,1,20160801,20160801
JUN16-201-Mon-Monday-02,1,0,0,0,0,0,0,20160704,20160829
JUN16-202-Tue-Tuesday-02,0,1,0,0,0,0,0,20160705,20160830
JUN16-203-Wed-Tuesday-02,0,1,0,0,0,0,0,20160706,20160831
JUN16-204-Thu-Tuesday-02,0,1,0,0,0,0,0,20160707,20160901
JUN16-205-Fri-Tuesday-02,0,1,0,0,0,0,0,20160708,20160902
