route_id,service_id,trip_id,trip_headsign,direction_id,block_id
135-249,CIVIC16-CIVIC16-Sunday-02,41732413-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732414-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732415-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732416-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732417-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732418-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732419-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732420-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732421-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732422-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732423-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732424-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732425-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732426-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732427-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732428-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732429-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732430-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732431-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732432-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732433-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732434-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732435-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732436-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732437-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964033
135-249,CIVIC16-CIVIC16-Sunday-02,41732438-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732439-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732440-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732441-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732442-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732443-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732444-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732445-CIVIC16-CIVIC16-Sunday-02,"Esprit",0,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732446-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732447-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732448-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732449-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732450-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732451-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732452-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732453-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
135-249,CIVIC16-CIVIC16-Sunday-02,41732454-CIVIC16-CIVIC16-Sunday-02,"Place d'Orléans",1,4964018
1-249,CIVIC16-CIVIC16-Sunday-02,41732455-CIVIC16-CIVIC16-Sunday-02,"South Keys",0,4964213
